;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
wappie_anti;;;;;http://pbs.twimg.com/profile_images/1352590037754540032/NtX-MH3d_normal.jpg;;;;;"wappie_anti

@rtvoost Wappieoptocht. #wappie
#corona";;6.318,3;4.577,7;;;;;;;;;;;;;156;;;5;6;273;88;;vaccin Hoe sneller Hoe beter;;;;22-1-2021 12:11;Open Twitter Page for This Person;https://twitter.com/wappie_anti;Yes;;;;;
rtvoost;;;;;http://pbs.twimg.com/profile_images/694884977687805952/gVZUi_DW_normal.jpg;;;;;"rtvoost

";;1.796,6;3.262,5;;;;;;;;;;;;;157;;;26791;189673;167807;214;;Nieuws en berichten van RTV Oost, de regionale omroep voor Overijssel. Volg ook @rtvoostsport voor sportnieuws. Webcare: 08-22 uur (ma-vr), 10-17 (za-zo).;Hengelo;http://t.co/dOoB1ulN68;;12-2-2009 21:16;Open Twitter Page for This Person;https://twitter.com/rtvoost;No;;;;;
booomer1979;;;;;http://pbs.twimg.com/profile_images/1363549044023451655/6H1hy0Au_normal.jpg;;;;;"booomer1979

RT @LokoCartoons: Jort Kelder heeft
gelijk: #wappies worden nooit besmet...
#Jort #JortKelder #noodwet #wappie
#coronamaatregelen https://t…";;8.583,2;8.034,3;;;;;;;;;;;;;158;;;57;48;3938;4026;;"Stay inside!
Probeert ondanks alle ellende van het leven te genieten. 
Wandelen, fietsen en spelfauten - 41 lentes oud. 
NL & EN. ࿂࿇࿆";Oaveriessel;;;9-2-2020 10:49;Open Twitter Page for This Person;https://twitter.com/booomer1979;Yes;;;;;
ml2mst;;;;;http://pbs.twimg.com/profile_images/1381206518138216452/1aDCvim1_normal.png;;;;;"ml2mst

En nog een, van een maand geleden:
Eldor van Feggelen en Convex Kafka
vieren de holocaust. En zich dan
afvragen waa… https://t.co/eTuYGS3GpF";;1.415,8;4.539,5;;;;;;;;;;;;;159;;;1598;1642;71593;81094;;Autodidact computer-nerd, Linux tester. Amateur composer and multi-instrumentalist. Homosexual, PVV voter. Loves Judaism and Israel.;Maastricht, Nederland;https://t.co/U35AvS3G1G;;25-4-2009 05:55;Open Twitter Page for This Person;https://twitter.com/ml2mst;Yes;;;;;
tijno1988;;;;;http://pbs.twimg.com/profile_images/1364238850600669189/LB-L9jPD_normal.jpg;;;;;"tijno1988

@eddy_terstall @wierdduk De mens
kan zich niet voorstellen dat er
iets groter aan de hand is dat
alle perken te bui… https://t.co/2vnM7niMsZ";;7.091,4;6.131,0;;;;;;;;;;;;;160;;;452;394;5636;548;;.;;;;17-12-2010 21:39;Open Twitter Page for This Person;https://twitter.com/tijno1988;Yes;;;;;
eddy_terstall;;;;;http://pbs.twimg.com/profile_images/1176878608016650240/7lhdA0K8_normal.jpg;;;;;"eddy_terstall

";;8.583,2;4.504,9;;;;;;;;;;;;;161;;;4232;22510;192746;1512;;Voor films en voetbal. Voor individuele vrijheid vd mens en welzijn van het dier;Jordaan, Amsterdam;https://t.co/cdge9rzuro;;23-10-2010 10:40;Open Twitter Page for This Person;https://twitter.com/eddy_terstall;No;;;;;
angeloftheabys2;;;;;http://pbs.twimg.com/profile_images/1373952035096264704/XRtUVTaE_normal.jpg;;;;;"angeloftheabys2

Als je vanuit je hoogstaande positie
als wetenschapper mensen voor #wappie
gaat verklaren omdat ze een andere
kijk… https://t.co/Qa4YiSR2ip";;3.684,9;2.007,8;;;;;;;;;;;;;162;;;102;72;2843;1901;;"Keeper of the key of the Abyss 🔯

Beast unleashed..

https://t.co/7YZ19YotRE

Former researcher AI LOFAR, philosopher with a stone, martial artist.";;;;21-3-2021 18:44;Open Twitter Page for This Person;https://twitter.com/angeloftheabys2;Yes;;;;;
emn_51314;;;;;http://pbs.twimg.com/profile_images/1386425912808427523/DrJKCv9C_normal.jpg;;;;;"emn_51314

@Anne197543 De #wappie parade";;3.495,9;7.790,8;;;;;;;;;;;;;163;;;413;194;14289;9827;;Vader van 3 mooie kids-gaat nog trouwen-☕️-🏹-niet links niet rechts maar wel rechtshandig-Netflix-Dordogne -⚽️-trance-iPhone11-podcasts-Utrecht-;Netherlands;;;13-5-2010 11:06;Open Twitter Page for This Person;https://twitter.com/emn_51314;Yes;;;;;
rtvutrecht;;;;;http://pbs.twimg.com/profile_images/724296509529972737/MFcfB23d_normal.jpg;;;;;"rtvutrecht

";;3.486,3;5.964,5;;;;;;;;;;;;;164;;;535;103967;152838;389;;"Nieuws uit de provincie Utrecht.
Tip ons via WhatsApp: 06 - 16 14 12 18 of via onze tiplijn: (030) 8500 500.
Voor sportnieuws volg @RTVUtrechtSport.";Utrecht;https://t.co/4bQGOY10CP;;17-2-2009 12:55;Open Twitter Page for This Person;https://twitter.com/rtvutrecht;No;;;;;
elvercat;;;;;http://pbs.twimg.com/profile_images/1381139317679136774/_rXLjLn3_normal.jpg;;;;;"elvercat

";;7.141,4;8.135,4;;;;;;;;;;;;;165;;;116;91;8655;2492;;;;;;12-1-2013 17:05;Open Twitter Page for This Person;https://twitter.com/elvercat;No;;;;;
patrick63430586;;;;;http://pbs.twimg.com/profile_images/1222113813383786497/hznqW1Mo_normal.jpg;;;;;"patrick63430586

";;7.387,3;9.520,2;;;;;;;;;;;;;166;;;54;14;174;333;;daytrader beginnend, racefietsen, mountainbike.;Alkmaar, The Netherlands;;;27-10-2018 15:34;Open Twitter Page for This Person;https://twitter.com/patrick63430586;No;;;;;
anne197543;;;;;http://pbs.twimg.com/profile_images/1385710093707141124/8ndzQNWK_normal.jpg;;;;;"anne197543

";;2.987,5;2.382,7;;;;;;;;;;;;;167;;;263;356;13740;22221;;;;;;4-7-2020 09:23;Open Twitter Page for This Person;https://twitter.com/anne197543;No;;;;;
peter_schijven;;;;;http://pbs.twimg.com/profile_images/966419258438770688/VOz9N5LI_normal.jpg;;;;;"peter_schijven

#Wappie https://t.co/CFr4QJGalP";;4.247,6;2.878,7;;;;;;;;;;;;;168;;;12;201;34674;31058;;Indien 't hier in 't Vaderland zoo gelegen is datmen de waarheid niet mag spreeken, zoo is 't 'er zeer elendig gesteld. Nogtans zal ik die spreeken;;;;8-9-2011 08:36;Open Twitter Page for This Person;https://twitter.com/peter_schijven;Yes;;;;;
eddyelsinga;;;;;http://pbs.twimg.com/profile_images/1380854741836689410/bnylfmYK_normal.jpg;;;;;"eddyelsinga

RT @LokoCartoons: #IkPrikHetNiet
trending. Logisch. Wappies worden
niet besmet. #wappies #antivaxxers
#wappie https://t.co/3IvMm92JSk";;4.159,7;2.185,9;;;;;;;;;;;;;169;;;438;311;13084;2200;;Trotse vader, Sportgek, Eco-coach, Allround Conditie/Hersteltrainer, Specialist Fysiek Trainer Voetbal, (Hard)Loopspecialist, Hardloper, Sportklimmer.;Heerenveen, The Netherlands;https://t.co/K08I4x0eWw;;16-11-2010 13:42;Open Twitter Page for This Person;https://twitter.com/eddyelsinga;Yes;;;;;
youri_bakker;;;;;http://pbs.twimg.com/profile_images/1382394337464623106/QVIz-Nh__normal.jpg;;;;;"youri_bakker

@WybrenvanHaga Ze zouden jou beter
elke ochtend eens een alcoholtest
laten doen. #fvd =#ForumVanDesinformatie
&amp;… https://t.co/8xQ24Ig7Sc";;4.791,1;3.242,6;;;;;;;;;;;;;170;;;225;158;1325;1801;;;Axel, The Netherlands;;;2-5-2011 17:59;Open Twitter Page for This Person;https://twitter.com/youri_bakker;Yes;;;;;
mauritsmares;;;;;http://pbs.twimg.com/profile_images/1386068274232926213/VBWql0jl_normal.jpg;;;;;"mauritsmares

@ossewed Daniel. Het zou goed zijn
als je wakker wordt en je ogen
opent #wappie";;6.863,4;1.220,4;;;;;;;;;;;;;171;;;101;90;1465;4;;ZMN'er in de zorg, Muziek, Sport, Risotto in diverse varianten. Met passie en drive mensen in beweging krijgen, stakeholders elkaar laten ontmoeten en begrijpen;;http://t.co/OQ36zCyd0t;;15-11-2011 09:25;Open Twitter Page for This Person;https://twitter.com/mauritsmares;Yes;;;;;
ossewed;;;;;http://pbs.twimg.com/profile_images/1314998962282287107/cjP1WBHN_normal.jpg;;;;;"ossewed

";;5.313,3;5.696,4;;;;;;;;;;;;;172;;;845;3570;10898;14869;;Vader. Echtgenoot. Natuur & geschiedenis. ‘78. Kandidaat #FVD TK #18. Statenlid #FVD prov Gron. (Landb, Econ, Infra). IT/Business Analist. Tweet op pers. titel.;Groningen;https://t.co/CW6RBSfsDn;;20-6-2009 14:16;Open Twitter Page for This Person;https://twitter.com/ossewed;No;;;;;
vitessechels;;;;;http://pbs.twimg.com/profile_images/1299083370345963539/cEAuRERS_normal.jpg;;;;;"vitessechels

Werden de jongeren ook met treinen
afgevoerd naar concentratiekampen
en daar vergast? Of kregen ze gewoon
een bekeu… https://t.co/sGOhaN7wwt";;3.541,3;9.141,6;;;;;;;;;;;;;173;;;207;1082;9497;202;;Vitesse fan | Arnhem;Arnhem, Nederland;;;14-3-2018 13:40;Open Twitter Page for This Person;https://twitter.com/vitessechels;Yes;;;;;
jeroen297;;;;;http://pbs.twimg.com/profile_images/1383866027344236546/LBY4vt5W_normal.jpg;;;;;"jeroen297

RT @VitesseChels: Werden de jongeren
ook met treinen afgevoerd naar
concentratiekampen en daar vergast?
Of kregen ze gewoon een bekeuring
v…";;2.789,3;6.471,7;;;;;;;;;;;;;174;;;1678;492;32717;49003;;Doet iets met trams | Vitesse Arnhem | Eenmalig international | Ongenuanceerd | Official account | 30-04-2017 | #29 | Je/Roen;Arnhem;https://t.co/1VjJQ9bkqf;;2-8-2010 18:45;Open Twitter Page for This Person;https://twitter.com/jeroen297;Yes;;;;;
spacechicken17;;;;;http://pbs.twimg.com/profile_images/1268137654870249472/aK-q-ryq_normal.jpg;;;;;"spacechicken17

“Het vaccin is veilig, wie dat
ontkent is een #wappie” is toch
redelijk snel verbogen naar “De
voordelen wegen… https://t.co/lDRuljeUT6";;2.344,4;7.926,0;;;;;;;;;;;;;175;;;88;16;978;4651;;Yells in bullhorn: “Most people mean well, we all just have a different idea of what that it”;;;;3-6-2020 11:00;Open Twitter Page for This Person;https://twitter.com/spacechicken17;Yes;;;;;
miranda_renate;;;;;http://pbs.twimg.com/profile_images/1317064079111000066/zCc2ZJ9c_normal.jpg;;;;;"miranda_renate

@wierdduk Al deccenia lang sterven
er wereldwijd 7 miljoen mensen
waaronder 890.000 mee-rokers (waaronder
dus ook k… https://t.co/OsCgTcXgOx";;4.914,9;4.487,3;;;;;;;;;;;;;176;;;10;0;246;115;;smile and wave;;;;16-10-2020 11:04;Open Twitter Page for This Person;https://twitter.com/miranda_renate;Yes;;;;;
wheelienick;;;;;http://pbs.twimg.com/profile_images/1385953634203148299/DPUG3UG8_normal.jpg;;;;;"wheelienick

Ik Luister nog graag naar de Kayak
platen waar Bert op zingt. Na dit
bericht misschien een stukje minder
graag.… https://t.co/JeQWlLnDP6";;8.583,2;4.017,5;;;;;;;;;;;;;177;;;3720;2060;45719;31165;;1995 product. I am not broken, just damaged Instagram: @ wheelienick Ships Insta: @travel_pics_by_nick #GeenDorHout  wachtend op 💉;;;;3-9-2016 18:27;Open Twitter Page for This Person;https://twitter.com/wheelienick;Yes;;;;;
flow_gow;;;;;http://pbs.twimg.com/profile_images/1376961544639156232/8CtV60HU_normal.jpg;;;;;"flow_gow

100’en zeggen ze dan🤦‍♂️, eerder
100.000’en! UK staat massaal op
tégen de lockdown, tegen alle andere
maatregelen e… https://t.co/XJlkbRE3iL";;2.049,4;9.292,7;;;;;;;;;;;;;178;;;77;27;628;2189;;;;;;5-5-2011 17:06;Open Twitter Page for This Person;https://twitter.com/flow_gow;Yes;;;;;
jacwiljam;;;;;http://pbs.twimg.com/profile_images/1367187568551464965/3EjB4Gt5_normal.jpg;;;;;"jacwiljam

RT @FLOW_GOW: 100’en zeggen ze
dan🤦‍♂️, eerder 100.000’en! UK
staat massaal op tégen de lockdown,
tegen alle andere maatregelen en
vooral t…";;1.729,0;6.544,2;;;;;;;;;;;;;179;;;730;442;11222;13153;;Andy McCoy Pete Burns Crass Lou Reed Alan Vega Wendy O Williams Morrissey The Sisters of Mercy MDC Jim Morrison Ken Loach Osho David Icke Max Igan David McGowan;here there and everywhere;;;21-10-2010 11:09;Open Twitter Page for This Person;https://twitter.com/jacwiljam;Yes;;;;;
remohen;;;;;http://pbs.twimg.com/profile_images/1261967669718286336/g9OsJqsy_normal.jpg;;;;;"remohen

@wierdduk Dat zie je wel aan jouw
uitspraken!!! Over #wappie gesproken!
Al een plaatsje aan het verwerven
op het sc… https://t.co/grDdlpuraK";;6.645,1;4.270,6;;;;;;;;;;;;;180;;;371;223;12728;18489;;Kritisch over msm! voor een vrije wereld! Freelance Service Engineer/mountainbiker/outdoor/man/vader/3kids;;;;5-10-2011 11:16;Open Twitter Page for This Person;https://twitter.com/remohen;Yes;;;;;
kinflap;;;;;http://pbs.twimg.com/profile_images/1365794081960566789/tBNI6mLg_normal.jpg;;;;;"kinflap

Hoorde ik daar #wappie? Wat een
klucht. #jensen #ikbeneenwappie
https://t.co/AiLYjfJK3a";;5.504,6;7.860,6;;;;;;;;;;;;;181;;;278;76;1349;1349;;Luchtverplaatser tegen wil en dank en autonoom medemens.;Nederland;;;31-10-2020 16:17;Open Twitter Page for This Person;https://twitter.com/kinflap;Yes;;;;;
maarten_marteen;;;;;http://pbs.twimg.com/profile_images/1382844709354229761/vL5PNA7j_normal.jpg;;;;;"maarten_marteen

@ReneZalm @burgvander2014 @veronicainside
Zit je lekker binnen voor 22u met
je beflapje op? Stel je voor dat
je de… https://t.co/LZcBNnN2ny";;4.890,4;4.394,6;;;;;;;;;;;;;182;;;30;58;469;475;;#BTC $ETH;The Netherlands;;;11-3-2021 16:11;Open Twitter Page for This Person;https://twitter.com/maarten_marteen;Yes;;;;;
burgvander2014;;;;;http://pbs.twimg.com/profile_images/1316661962722476032/tE9z33-e_normal.jpg;;;;;"burgvander2014

";;2.637,1;4.093,0;;;;;;;;;;;;;183;;;173;266;12607;8797;;Rechtse deugneus. Gepensioneerde zwaargewicht bokser van midden veertig.;;;;11-5-2018 07:57;Open Twitter Page for This Person;https://twitter.com/burgvander2014;No;;;;;
renezalm;;;;;http://pbs.twimg.com/profile_images/1113144163007180802/FoiNKgOm_normal.png;;;;;"renezalm

";;4.178,9;5.841,2;;;;;;;;;;;;;184;;;1588;726;36930;15154;;CAD Engineer. interested in politics football and music. Enjoy Making Websites, Photography, Graphic processing and Tottenham Hotspur FC Audere Est Facere COYS;The Hague, The Netherlands;https://t.co/rEsZKRfx4k;;27-2-2011 07:04;Open Twitter Page for This Person;https://twitter.com/renezalm;No;;;;;
nutwerk;;;;;http://pbs.twimg.com/profile_images/1380480359624798224/RGPy7WD2_normal.png;;;;;"nutwerk

@sherrybaudet @ewaldeng Meneer
Thieme is een beetje #wappie.";;3.458,3;6.452,2;;;;;;;;;;;;;185;;;2000;1133;29658;8737;;Gutmensch | Kufar | Antifa | Bleekneus | 3 x Opa | Republikein | Oud-Militair | #IkPas | #DukWatch | #RoodGroen | Gedenk Bataclan & Utøya | 🎧 #Pinguinradio;Alkmaar, Nederland;;;25-9-2010 09:13;Open Twitter Page for This Person;https://twitter.com/nutwerk;Yes;;;;;
ewaldeng;;;;;http://pbs.twimg.com/profile_images/1347448057269526528/8z7VlldO_normal.jpg;;;;;"ewaldeng

";;8.583,2;7.608,9;;;;;;;;;;;;;186;;;1983;40437;60735;3061;;ik ben potje hollen | i'm out running | hekel aan stierenpoep | hates bullshit;Heveadorp;;;8-2-2009 18:13;Open Twitter Page for This Person;https://twitter.com/ewaldeng;No;;;;;
sherrybaudet;;;;;http://pbs.twimg.com/profile_images/1110626695856443392/sMm4jA0b_normal.png;;;;;"sherrybaudet

";;2.851,9;3.316,9;;;;;;;;;;;;;187;;;5120;5163;62140;62861;;#Parody/Commentary ~ Thierry Baudet's righteous brother ~ Hates (Illinois) Nazis ~ Speaks Dutch and  English, fluent only in Gibberish ~ Run by @vanderbraak;;https://t.co/C2Ftg6MYgM;;6-10-2016 10:44;Open Twitter Page for This Person;https://twitter.com/sherrybaudet;No;;;;;
kimdrink;;;;;http://pbs.twimg.com/profile_images/1386056210051440645/OZlhfuSO_normal.jpg;;;;;"kimdrink

Van die mensen die hun eigen waarheid
geloven, waarbij ik alleen in opperste
verbijstering kan denken:""Op welke
pla… https://t.co/kRegDmvbKf";;4.804,7;169,3;;;;;;;;;;;;;188;;;1249;588;1036;31818;;Verpleegkundige Ggz, wens om te specialiseren tot rouwtherapeut, passion for Australia & MotoGP. Endometriose. Involuntary childless.;Netherlands;;;20-1-2013 14:55;Open Twitter Page for This Person;https://twitter.com/kimdrink;Yes;;;;;
fryskers;;;;;http://pbs.twimg.com/profile_images/1351210114674536453/TtyKB1n4_normal.jpg;;;;;"fryskers

@l_ruigrok Lees eens iets over
vaccinatiegraad voordat je jouw
onbenul op Twitter uitkraamt #wappie.";;3.500,0;7.939,0;;;;;;;;;;;;;189;;;88;17;491;155;;NL is verkloot door egoïsten en massa immigratie. Breng Nederland terug naar Nederland voor de Nederlanders die ook echt samen willen leven.;;;;3-8-2015 16:01;Open Twitter Page for This Person;https://twitter.com/fryskers;Yes;;;;;
jan_weeber;;;;;http://pbs.twimg.com/profile_images/1193647942361657345/S5taPKST_normal.jpg;;;;;"jan_weeber

";;2.516,5;8.746,8;;;;;;;;;;;;;190;;;205;236;18693;2659;;Fan van Donar basketball Groningen.;Groningen;;;5-3-2014 17:50;Open Twitter Page for This Person;https://twitter.com/jan_weeber;No;;;;;
sjaakuit;;;;;http://pbs.twimg.com/profile_images/1362519129241116679/Q7yW5NiH_normal.jpg;;;;;"sjaakuit

";;6.932,8;1.721,6;;;;;;;;;;;;;191;;;451;689;31649;26036;;"Realist, blokkeert mensen die over wit beginnen, de racismekaart trekken en natuurlijk trollen. 
(foto: maker onbekend)
@SjaakUitDordt (Parler)";;;;28-8-2019 17:08;Open Twitter Page for This Person;https://twitter.com/sjaakuit;No;;;;;
l_ruigrok;;;;;http://pbs.twimg.com/profile_images/912544755489411074/Purv2P3S_normal.jpg;;;;;"l_ruigrok

";;2.742,1;5.787,1;;;;;;;;;;;;;192;;;2879;4552;153039;37248;;"Niet minder maar géén EU. 
RT is niet altijd instemmen.";;;;30-9-2013 11:25;Open Twitter Page for This Person;https://twitter.com/l_ruigrok;No;;;;;
renaatjez79;;;;;http://pbs.twimg.com/profile_images/1347286266581286912/ROsWg3Oa_normal.jpg;;;;;"renaatjez79

";;5.458,1;6.603,6;;;;;;;;;;;;;193;;;2975;2125;14413;79838;;Pro Nexit, pro FVD/PVV, pro Trump, pro Zwarte Piet, ik vaccineer niet!;drachten;;;31-8-2010 16:54;Open Twitter Page for This Person;https://twitter.com/renaatjez79;No;;;;;
ajjdordt;;;;;http://pbs.twimg.com/profile_images/1350900028093706245/yuodc2Qm_normal.jpg;;;;;"ajjdordt

@Amaretty Dat is idd wel zo'n beetje
de vibe die je als #wappie afgeeft
ja. Hey, acceptatie is de 1e stap
op weg… https://t.co/YDpBGjEhCu";;1.415,8;5.160,4;;;;;;;;;;;;;194;;;4961;2766;70590;72984;;"Vader, Gamer, Buschauffeur Drechtsteden. Kaderlid @FNV, lid OR @QbuzzDAV, Commissielid @PvdADordrecht.
Tweets zijn persoonlijk!";Dordrecht;https://t.co/aN6IgU2AeE;;11-10-2010 08:39;Open Twitter Page for This Person;https://twitter.com/ajjdordt;Yes;;;;;
amaretty;;;;;http://pbs.twimg.com/profile_images/1386351184018034691/Jw5Ik3Bn_normal.jpg;;;;;"amaretty

";;6.920,4;5.297,0;;;;;;;;;;;;;195;;;992;792;4608;10702;;Forty something. Standing in the middle of the storm, searching for the light 💛;nl;;;15-7-2009 16:35;Open Twitter Page for This Person;https://twitter.com/amaretty;No;;;;;
totti23456;;;;;http://pbs.twimg.com/profile_images/1376142724689231873/LkAV_Ai8_normal.jpg;;;;;"totti23456

@thierrybaudet, hoe gaat het nou
écht met jou? #koekoek #wappie
#koekwaus #idioot #stukverdriet
#coronamaatregelen… https://t.co/Jf60hh3WHL";;6.071,1;1.884,2;;;;;;;;;;;;;196;;;963;455;20530;15491;;Italië-gek / Fotografie / PSV / Zegt het met GIF of zelfgemaakte foto / 'Alles komt goed!' / Kritisch midden / #ikvaccineer #COVID got me and my wife… twice!;Limburg, Nederland;https://t.co/o9TMW39PHM;;6-7-2009 21:12;Open Twitter Page for This Person;https://twitter.com/totti23456;Yes;;;;;
joyce_devivre2;;;;;http://pbs.twimg.com/profile_images/1377323681353961474/i1XLEX8a_normal.jpg;;;;;"joyce_devivre2

@SimoneSays123 @MargaPrudon @IngeBaijs
Ohhhh Simone #wappie";;3.163,0;3.331,9;;;;;;;;;;;;;197;;;467;349;4072;3608;;Yes, it’s her.. Still very much into US & NL politics & lame jokes. Twittert sinds 2009.;FL/NL;;;19-2-2021 11:07;Open Twitter Page for This Person;https://twitter.com/joyce_devivre2;Yes;;;;;
ingebaijs;;;;;http://pbs.twimg.com/profile_images/1140283102004219904/gr8Y9OAP_normal.jpg;;;;;"ingebaijs

";;2.044,0;3.090,7;;;;;;;;;;;;;198;;;115;28;267;1388;;Mountainbiker, mountainbike trainer jeugd, coach kinderen, motorrijder, creatief, moeder, magazijnmedewerkster, klantvriendelijk, allround, etc.;Wieringerwerf, Hollands Kroon;;;25-2-2014 15:17;Open Twitter Page for This Person;https://twitter.com/ingebaijs;No;;;;;
margaprudon;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"margaprudon

";;4.951,5;1.336,2;;;;;;;;;;;;;199;;;20;5;235;322;;;;;;23-3-2012 10:35;Open Twitter Page for This Person;https://twitter.com/margaprudon;No;;;;;
oneofusall1;;;;;http://pbs.twimg.com/profile_images/1334886321815425025/-DR2SP7Y_normal.jpg;;;;;"oneofusall1

RT @Bas_sie89: @wierdduk Zou er
zich echt geen geheime ruimte in
die chaotische #wappie hersenpannetjes
bevinden waarin men denkt: misschie…";;6.984,1;1.387,0;;;;;;;;;;;;;200;;;1730;440;10722;11124;;Wee hun die het kwade goed noemen en het goede kwaad! Jesaja 5:20-21;The Netherlands;;;4-12-2020 15:35;Open Twitter Page for This Person;https://twitter.com/oneofusall1;Yes;;;;;
bas_sie89;;;;;http://pbs.twimg.com/profile_images/1249453001221246976/2-caf9HZ_normal.jpg;;;;;"bas_sie89

@wierdduk Zou er zich echt geen
geheime ruimte in die chaotische
#wappie hersenpannetjes bevinden
waarin men denkt:… https://t.co/mKiIZh0gWe";;5.837,5;2.977,1;;;;;;;;;;;;;201;;;829;819;14840;23396;;Tegen open grenzen, opgedrongen multicul, politieke correctheid en klimaathysterie. Daarom #PVV #NEXIT. Feyenoorder 🔴⚪, F1-liefhebber🏁;;;;21-3-2016 15:54;Open Twitter Page for This Person;https://twitter.com/bas_sie89;Yes;;;;;
st3gm4n;;;;;http://pbs.twimg.com/profile_images/712214698150731776/kdX31A4A_normal.jpg;;;;;"st3gm4n

@annstrikje schoolvoorbeeld van
een #wappie met 11K volgers met
dit soort domme uitspraken is het
een #dotam accoun… https://t.co/3bYyYd0MU8";;3.711,8;1.573,2;;;;;;;;;;;;;202;;;240;12;2008;283;;;;;;13-1-2012 18:55;Open Twitter Page for This Person;https://twitter.com/st3gm4n;Yes;;;;;
pverkaik1;;;;;http://pbs.twimg.com/profile_images/682112889654800384/5hwStkhb_normal.jpg;;;;;"pverkaik1

@WijZeggen @MaartenSchrode1 @Gerard1945X
@groenlinks Bang voor de PVV? #wappie";;4.320,9;6.935,5;;;;;;;;;;;;;203;;;2346;1778;52106;31137;;Bier, varkensvlees en bikini's. #wenermaaraan;;;;24-7-2015 19:31;Open Twitter Page for This Person;https://twitter.com/pverkaik1;Yes;;;;;
groenlinks;;;;;http://pbs.twimg.com/profile_images/1288060908095315968/UJe5uFRU_normal.jpg;;;;;"groenlinks

";;4.648,6;8.118,2;;;;;;;;;;;;;204;;;31;146648;20773;9141;;Bedankt voor je stem! ❤️💚 Word net als meer dan 33.000 anderen lid van onze beweging: https://t.co/xRTogGxKFp 🍀;Nederland;https://t.co/vWuD8iVVsa;;4-1-2008 12:41;Open Twitter Page for This Person;https://twitter.com/groenlinks;No;;;;;
gerard1945x;;;;;http://pbs.twimg.com/profile_images/1333399780257648641/BcRivc2F_normal.jpg;;;;;"gerard1945x

";;1.675,1;7.283,9;;;;;;;;;;;;;205;;;798;6664;18509;186427;;75 jaar. ⚓ Gevaren bij koopvaardij en Koninklijke Marine. Jazzmusicus (hobby). Website over Nederlandse politiek, etc. https://t.co/OQ0aVkGDuR;Nederland;https://t.co/PCGGyUZGPJ;;1-12-2016 09:59;Open Twitter Page for This Person;https://twitter.com/gerard1945x;No;;;;;
maartenschrode1;;;;;http://pbs.twimg.com/profile_images/1317788439547445250/PrQ5H8XZ_normal.jpg;;;;;"maartenschrode1

";;6.855,4;2.110,1;;;;;;;;;;;;;206;;;827;195;8139;10101;;(Hij/Hem) Ik mopper, ik mijmer. Lekker Links en Germaans Heiden.;Zwolle;;;30-4-2019 19:54;Open Twitter Page for This Person;https://twitter.com/maartenschrode1;No;;;;;
wijzeggen;;;;;http://pbs.twimg.com/profile_images/1325695171636436992/XyHLWFlg_normal.jpg;;;;;"wijzeggen

";;2.754,9;4.085,6;;;;;;;;;;;;;207;;;522;514;17397;17809;;meestal deugend | geen geduld met wappies | wetenschap is geen mening | fervent ongelovig | verzamelt taalvauten | pythonist | duurzaam elektrisch |🔻 | $NLG;Capelle aan den IJssel;https://t.co/GhvOyTqVXx;;20-2-2011 19:35;Open Twitter Page for This Person;https://twitter.com/wijzeggen;No;;;;;
willemdeklerk51;;;;;http://pbs.twimg.com/profile_images/803919835642077185/noe1xnJY_normal.jpg;;;;;"willemdeklerk51

RT @Bas_sie89: @wierdduk Zou er
zich echt geen geheime ruimte in
die chaotische #wappie hersenpannetjes
bevinden waarin men denkt: misschie…";;6.104,4;4.493,8;;;;;;;;;;;;;208;;;89;82;39627;175;;Pensionada;Zwijndrecht, Nederland;;;30-11-2016 10:28;Open Twitter Page for This Person;https://twitter.com/willemdeklerk51;Yes;;;;;
hannah_onwheels;;;;;http://pbs.twimg.com/profile_images/1384505792204836865/1sCBPU1E_normal.jpg;;;;;"hannah_onwheels

Als ik nu mijn rolstoel weg doe,
ben ik dan niet meer gehandicapt?
#logica #kopinhetzand #wappie https://t.co/95z9M5iFcR";;2.384,5;192,2;;;;;;;;;;;;;209;;;211;79;5213;8882;;"Het glas is altijd halfvol.
Spina Bifida & Hydrocephalus patiënt. Supporter van alle lieve geweldige zorgmedewerkers, en trotse twitterzus van Jason!";;;;6-3-2017 11:54;Open Twitter Page for This Person;https://twitter.com/hannah_onwheels;Yes;;;;;
