;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
deefonta;;;;;http://pbs.twimg.com/profile_images/1388479809848811521/6qr5Y8GJ_normal.jpg;;;;;"deefonta

The #QAnon #insurrectionist who
filmed himself begging to be shot
and inciting rioters to storm the
Capitol told th… https://t.co/gvk0dUydLA";;;;;;;;;;;;;;;;;;;5374;5092;27069;32993;;I support #LGBTQIA 🏳️‍🌈 #BlackLivesMatter #StopAsianHate #WomenRights #FBR #SuicidePrevention #MaskUpAmerica #RESIST 🇺🇸 she/her/they/them ✌🏻;United States;;;10-3-2015 00:56;Open Twitter Page for This Person;https://twitter.com/deefonta;Yes;;;;;
richardrankin22;;;;;http://pbs.twimg.com/profile_images/970512535077126144/27EQrw-1_normal.jpg;;;;;"richardrankin22

RT @DeeFonta: The #QAnon #insurrectionist
who filmed himself begging to be
shot and inciting rioters to storm
the Capitol told the FBI he w…";;;;;;;;;;;;;;;;;;;411;299;35116;35553;;;Moro Bay, AR ;;;9-11-2012 17:27;Open Twitter Page for This Person;https://twitter.com/richardrankin22;Yes;;;;;
ashburn_willard;;;;;http://pbs.twimg.com/profile_images/1387214134106894340/p7y6VP88_normal.jpg;;;;;"ashburn_willard

@OnlyAPrimate @capetownbrown It
wouldn’t matter...these are the
#TeaParty #Trumpers #QANON #Conservatives…
https://t.co/1qfR7sWmQS";;;;;;;;;;;;;;;;;;;35;5;61;27;;Last Of the Black Jedi;The Woodlands, TX;;;28-4-2021 01:12;Open Twitter Page for This Person;https://twitter.com/ashburn_willard;Yes;;;;;
capetownbrown;;;;;http://pbs.twimg.com/profile_images/1173267675256172546/Neth44xw_normal.jpg;;;;;"capetownbrown

";;;;;;;;;;;;;;;;;;;431;12902;81622;90222;;Social worker. Educator. Maya and Teige’s dad. Teige is pronounced like beige but with a t (tāZH).;Tennessee, USA;https://t.co/5RcMd5Qu2U;;15-8-2009 08:28;Open Twitter Page for This Person;https://twitter.com/capetownbrown;No;;;;;
onlyaprimate;;;;;http://pbs.twimg.com/profile_images/1257042437303873536/06uqJawR_normal.jpg;;;;;"onlyaprimate

";;;;;;;;;;;;;;;;;;;220;73;12658;34130;;"""What can be asserted without evidence can also be dismissed without evidence.""

---------------------------------------------------
Image by Carol Ballenger";;;;9-10-2010 22:21;Open Twitter Page for This Person;https://twitter.com/onlyaprimate;No;;;;;
krispekitty;;;;;http://pbs.twimg.com/profile_images/1360236832764665857/KjpMuRRa_normal.jpg;;;;;"krispekitty

@RonFilipkowski Hahahaha captain
#qanon sucks";;;;;;;;;;;;;;;;;;;1198;1376;53076;78127;;flag football player, NU grad, fantasy football champion, boot camp champ, actor, singer, musical improviser, April Ninja of the Month, Married #BLM;Your mom ;;;3-8-2008 23:37;Open Twitter Page for This Person;https://twitter.com/krispekitty;Yes;;;;;
ronfilipkowski;;;;;http://pbs.twimg.com/profile_images/1322236531080351744/N9JMnmSq_normal.jpg;;;;;"ronfilipkowski

";;;;;;;;;;;;;;;;;;;582;45319;21315;37054;;"Attorney, Marine, Triathlete, Historian. Former Federal Prosecutor & Repub; now Defense Attorney & Democrat. Political comedy, commentary, theatre and horror.";Florida;;;25-8-2020 21:32;Open Twitter Page for This Person;https://twitter.com/ronfilipkowski;No;;;;;
seret_serge;;;;;http://pbs.twimg.com/profile_images/1173742211894325248/uWo-bFeZ_normal.jpg;;;;;"seret_serge

RT @EricNaulleau: Nous sommes le
2 mai 2021 et @JoeBiden n’a toujours
pas été arrêté par l’armée contrairement
à ce qu’annonçaient tous les…";;;;;;;;;;;;;;;;;;;2427;1330;68200;62006;;Sincères, franc cool sociable rigoler aime la vie.;;;;16-9-2019 23:32;Open Twitter Page for This Person;https://twitter.com/seret_serge;Yes;;;;;
mr_jj_cakes;;;;;http://pbs.twimg.com/profile_images/1116210809/toastysuper_normal.jpg;;;;;"mr_jj_cakes

RT @BigBlueWaveUSA: If it has to
do with Tяump, Republicans, #QAnon
or #Cult45 - it’s either illegal,
unethical, immoral or any combination…";;;;;;;;;;;;;;;;;;;2265;2221;244341;76137;;📦 saving the economy one purchase at a time ☕️he/him #TheResistance;Wyoming front range;;;10-3-2010 22:16;Open Twitter Page for This Person;https://twitter.com/mr_jj_cakes;Yes;;;;;
cynthia26942734;;;;;http://pbs.twimg.com/profile_images/1337281417911226369/EYEYnwgZ_normal.jpg;;;;;"cynthia26942734

#ArizonaRecount #Arizona #Republicans
#GOP #QAnon #CapitolRiots #GQP
#FoxNews #MSNBC #TRump #CNN #JimCrow
https://t.co/w2SQ7ENDrp";;;;;;;;;;;;;;;;;;;211;78;10467;4241;;a great face painter who loves dogs, cats, birds and all animals;;;;11-12-2020 06:21;Open Twitter Page for This Person;https://twitter.com/cynthia26942734;Yes;;;;;
cauchiphilippe;;;;;http://pbs.twimg.com/profile_images/344513261570407857/24da5c1bbc7fa1580906898c99ae43ff_normal.png;;;;;"cauchiphilippe

RT @EricNaulleau: Nous sommes le
2 mai 2021 et @JoeBiden n’a toujours
pas été arrêté par l’armée contrairement
à ce qu’annonçaient tous les…";;;;;;;;;;;;;;;;;;;385;98;19714;15359;;;;http://t.co/GRZiAqISG9;;27-6-2012 00:20;Open Twitter Page for This Person;https://twitter.com/cauchiphilippe;Yes;;;;;
ian_frogman;;;;;http://pbs.twimg.com/profile_images/1249897854631542784/ogTSX4BH_normal.jpg;;;;;"ian_frogman

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;1021;906;64711;45921;;Clean Water for Indigenous Communities - LBGTQ* - Feminist - Union Strong - Descendant of the Fuadach nan Gàidheal 😺✌️🍷;Winnipeg, Manitoba;;;7-11-2012 03:56;Open Twitter Page for This Person;https://twitter.com/ian_frogman;Yes;;;;;
refashionista;;;;;http://pbs.twimg.com/profile_images/1009436947440381953/_eNtdAMs_normal.jpg;;;;;"refashionista

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;838;2546;76116;52832;;"45, mum of 6, housewife, queer, blogger, bookworm, occasional superhero. 🌈 She/Her

Blocked by Kinsella, followed by Trudeau -- has achieved political Zen.";Kemptville;https://t.co/tM6saI3T0p;;1-1-2009 22:05;Open Twitter Page for This Person;https://twitter.com/refashionista;Yes;;;;;
darthspader747;;;;;http://pbs.twimg.com/profile_images/526453001691475968/p4pmlyNE_normal.jpeg;;;;;"darthspader747

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;3942;1853;144165;74299;;The TV business is a long plastic hallway, a shallow money trench where thieves and pimps run free, and good men die like dogs;Lost Angeles;;;26-10-2014 19:12;Open Twitter Page for This Person;https://twitter.com/darthspader747;Yes;;;;;
caffenefiend;;;;;http://pbs.twimg.com/profile_images/2891585219/ac82e0ad5c0373ec4dac8dc63630f94e_normal.jpeg;;;;;"caffenefiend

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;676;596;142676;36375;;"Political Junkie
Rabid Reader
Multi-sport Mania";British Columbia, Canada;;;25-3-2011 22:19;Open Twitter Page for This Person;https://twitter.com/caffenefiend;Yes;;;;;
seanflan45;;;;;http://pbs.twimg.com/profile_images/1269019635048943617/on_SMMlJ_normal.jpg;;;;;"seanflan45

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;8610;8145;117861;128362;;Just a quiet autistic man from England. Anti-police brutality. #Gay #Resist #FuckTrump #TransWomenAreWomen #JoeBiden #BLM #Labour #Remain;;;;5-6-2020 21:33;Open Twitter Page for This Person;https://twitter.com/seanflan45;Yes;;;;;
quantumhumanity;;;;;http://pbs.twimg.com/profile_images/1385207178173243395/I08m_Zn__normal.jpg;;;;;"quantumhumanity

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;4999;4412;149907;75854;;"Dr. of Psy; Navy Veteran (Naval Intelligence}, 70's Hippy, Vegetarian, Mindfulness Meditation.
I stand against Tyranny.
Thank you for your life...";Global;;;17-2-2014 21:46;Open Twitter Page for This Person;https://twitter.com/quantumhumanity;Yes;;;;;
tweetythings1;;;;;http://pbs.twimg.com/profile_images/763001384903946240/FKc2CqPE_normal.jpg;;;;;"tweetythings1

#susancollins claims #GOP ""is not
a party led by one person"" #trump
#qanon #cultoftrump would all disagree
with this statement";;;;;;;;;;;;;;;;;;;8;151;29197;2950;;;;;;18-4-2013 23:06;Open Twitter Page for This Person;https://twitter.com/tweetythings1;Yes;;;;;
captainteag;;;;;http://pbs.twimg.com/profile_images/1383850339212750864/-Jv3DGBu_normal.jpg;;;;;"captainteag

";;;;;;;;;;;;;;;;;;;199;87;2584;1410;;artist formerly known as Toastie McDope. used to be a punk rocker. i detest all my sins- sort of. Movies #scifi & pol opinion blog @TheRealMcTeag.com;Queens, NY;https://t.co/T1V4FZQQBN;;27-5-2020 18:00;Open Twitter Page for This Person;https://twitter.com/captainteag;No;;;;;
singingval61;;;;;http://pbs.twimg.com/profile_images/1370423369129029633/gwSxIjQC_normal.jpg;;;;;"singingval61

RT @JustMToday2: What did JFK Jr
and Carolyn do on Nov. 22, 1997?
They went flying in a Buckeye ultralight
powered parachute! #QAnon #JFKjr…";;;;;;;;;;;;;;;;;;;364;166;30023;4072;;I'm a Vocalist in search of a Musical Home! &NEEDS CHANCE TO SHINE& Trying To Find The Real Me.🐸🎤🐺🎵🎶🎼📷📺📻💻📡📯Like🙏🎸🎹📀💿👸🐆😺😻🐈👀👓KEW👓L☕🍵🍨🍹;northern california;http://t.co/uHi3WIXtPL;;20-4-2009 17:50;Open Twitter Page for This Person;https://twitter.com/singingval61;Yes;;;;;
justmtoday2;;;;;http://pbs.twimg.com/profile_images/1354039905639428096/zI42PuHW_normal.jpg;;;;;"justmtoday2

";;;;;;;;;;;;;;;;;;;871;15072;15819;37335;;It's the Outsiders that change the world...let’s move into 5D...God wins..I tweet for free..No Dms;Sharing Truth;;;13-3-2007 12:40;Open Twitter Page for This Person;https://twitter.com/justmtoday2;No;;;;;
reznative1;;;;;http://pbs.twimg.com/profile_images/846463787649531904/vSrZ4U73_normal.jpg;;;;;"reznative1

@naomirwolf She went to Trump University
&amp; took up #QAnon Science 101!!
@dcexaminer @washingtonpost @BBCNews
@funder @finafyr @azcentral";;;;;;;;;;;;;;;;;;;83;84;19807;13784;;"""Out of suffering have emerged the strongest souls; the most massive characters are seared with scars"". -Gibran.     My belief.";;;;24-3-2017 17:23;Open Twitter Page for This Person;https://twitter.com/reznative1;Yes;;;;;
azcentral;;;;;http://pbs.twimg.com/profile_images/885573960561299456/L573mqVt_normal.jpg;;;;;"azcentral

";;;;;;;;;;;;;;;;;;;625;399482;266086;2791;;Award-winning local news from Arizona and metro Phoenix | The Arizona Republic in the streets 🗞️ @azcentral in the tweets  | Instagram: azcentral;Phoenix, AZ;https://t.co/OoB3qQF4Qw;;5-2-2008 22:04;Open Twitter Page for This Person;https://twitter.com/azcentral;No;;;;;
finafyr;;;;;http://pbs.twimg.com/profile_images/648035447411597312/KgxWUoLG_normal.jpg;;;;;"finafyr

";;;;;;;;;;;;;;;;;;;392;1506;325456;67199;;I am an archaeologist by training but am currently an artist and lover of a free America I also love the constitution and reject prejudice racism and fascism;Oregon;;;22-1-2015 21:36;Open Twitter Page for This Person;https://twitter.com/finafyr;No;;;;;
funder;;;;;http://pbs.twimg.com/profile_images/843990001532764160/yjMRQs74_normal.jpg;;;;;"funder

";;;;;;;;;;;;;;;;;;;86352;972584;279828;151819;;Co-Founder & Executive Director @TheDemCoalition. @DworkinReport pod. Journalist. Investigator. Author. Musician. Obama alum. #TheResistance forever.;;https://t.co/VhWKRFMpPL;;28-3-2008 21:38;Open Twitter Page for This Person;https://twitter.com/funder;No;;;;;
bbcnews;;;;;http://pbs.twimg.com/profile_images/1150718511129477120/2N_GW7HR_normal.png;;;;;"bbcnews

";;;;;;;;;;;;;;;;;;;93;12268615;450713;45;;News, features and analysis. For world news, follow @BBCWorld. Breaking news, follow @BBCBreaking. Latest sport news @BBCSport. Our Instagram: BBCNews;London;https://t.co/vBzl7LNCCQ;;8-1-2007 08:05;Open Twitter Page for This Person;https://twitter.com/bbcnews;No;;;;;
dcexaminer;;;;;http://pbs.twimg.com/profile_images/1049003685639081986/zX2rN7zN_normal.jpg;;;;;"dcexaminer

";;;;;;;;;;;;;;;;;;;266;276364;533939;731;;Political news and commentary from the Washington Examiner. https://t.co/ou7lbgJSLh;Washington, DC;http://t.co/yIzleEakTJ;;13-1-2009 22:16;Open Twitter Page for This Person;https://twitter.com/dcexaminer;No;;;;;
naomirwolf;;;;;http://pbs.twimg.com/profile_images/1287776084998656000/y_enIbeq_normal.jpg;;;;;"naomirwolf

";;;;;;;;;;;;;;;;;;;29964;132534;137235;58583;;Outrages explores violations of personal freedoms via the inspiring story of LGBTQ rights hero John Addington Symonds. CEO, https://t.co/5tLHQbGnqj. DPhil, Poetry.;New York;https://t.co/aw0Xq6wEaL;;28-4-2011 16:29;Open Twitter Page for This Person;https://twitter.com/naomirwolf;No;;;;;
stevendb8386;;;;;http://pbs.twimg.com/profile_images/1384598676106924032/C-bztfZF_normal.jpg;;;;;"stevendb8386

@thehill @GOP @ComeUntoChrist Splitting
up only helps candidates I support
win so I’m glad you have internal
proble… https://t.co/2Tovj0TH6Y";;;;;;;;;;;;;;;;;;;1933;137;4766;1472;;"Unity 🇺🇸
#blacklivesmatter #policereformnow #voteblue
#climatechange #environmentaljustice";California ;;;25-10-2019 22:22;Open Twitter Page for This Person;https://twitter.com/stevendb8386;Yes;;;;;
senatorwicker;;;;;http://pbs.twimg.com/profile_images/1053286698438803456/c5VspcNT_normal.jpg;;;;;"senatorwicker

";;;;;;;;;;;;;;;;;;;464;103180;7631;2086;;Senior U.S. Senator for Mississippi. Ranking Member @SenateCommerce. Please visit my website for updates.;Mississippi & Washington, DC;https://t.co/iD8pcNybj9;;11-3-2011 14:59;Open Twitter Page for This Person;https://twitter.com/senatorwicker;No;;;;;
truthglow;;;;;http://pbs.twimg.com/profile_images/823329065146851328/DRKN3Uxp_normal.jpg;;;;;"truthglow

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;18636;18053;903903;694116;;"PROGRESSIVE POPULIST; RN-LCSW; No-GMOs; Social JUSTICE; Election Integrity; PEACE; Human & Animal Rights; ANTI-NSA; NO LISTS! #BDS #GND #BLM #M4A #FreeAssange";United States;;;12-5-2010 16:42;Open Twitter Page for This Person;https://twitter.com/truthglow;Yes;;;;;
infojunkieiam;;;;;http://pbs.twimg.com/profile_images/1375540659336060931/Uk_c0I56_normal.jpg;;;;;"infojunkieiam

""The professors were targeted over
a variety of liberal positions,
the survey reveals, but a majority
were singled… https://t.co/ExUaeqZ0uh";;;;;;;;;;;;;;;;;;;2336;36;2167;3378;;;SFV, CA;;;10-3-2020 03:35;Open Twitter Page for This Person;https://twitter.com/infojunkieiam;Yes;;;;;
bigdontee;;;;;http://pbs.twimg.com/profile_images/1100981262062219265/Cm0SOa8y_normal.png;;;;;"bigdontee

RT @infojunkieiam: ""The professors
were targeted over a variety of
liberal positions, the survey reveals,
but a majority were singled out
o…";;;;;;;;;;;;;;;;;;;1595;2646;146416;879;;Satirical tweets, Don of the @GOP Syndicate, #pimperor, Make America Medieval Again #MAMA, Retweets ≠ endorsements, #Goldshirt commander-in-chief;Washington, DC;https://t.co/yCzpxaoL5M;;4-12-2016 20:56;Open Twitter Page for This Person;https://twitter.com/bigdontee;Yes;;;;;
moderntrailhead;;;;;http://pbs.twimg.com/profile_images/1060215578881855490/ablSvi4u_normal.jpg;;;;;"moderntrailhead

If anyone has some time and wants
to mess with a Qanon group on MeWe,
go ahead and join this one and
have at it:… https://t.co/i3ay6CfxRZ";;;;;;;;;;;;;;;;;;;229;111;7676;6353;;"Progress is patriotic. #TakeBackPatriotism #TruePatriots
Fighting Q disinformation.";New Jersey, USA;;;18-11-2016 03:58;Open Twitter Page for This Person;https://twitter.com/moderntrailhead;Yes;;;;;
1776freeeagle;;;;;http://pbs.twimg.com/profile_images/1242634712998383617/n1OFVi14_normal.jpg;;;;;"1776freeeagle

@BobScrillen @RonFilipkowski I
am sure you can recite the #QAnon
pledge or whatever those disgusting
traitors call it.";;;;;;;;;;;;;;;;;;;262;259;3586;1938;;🇺🇸🇨🇦 #TrumpRacists are disgusting. #FuckTrump #VoteBlue #Resist #GymJordanMustResign #PresidentBiden 🇺🇸🇨🇦;;;;25-3-2020 01:31;Open Twitter Page for This Person;https://twitter.com/1776freeeagle;Yes;;;;;
bobscrillen;;;;;http://pbs.twimg.com/profile_images/634397270176350208/CBuikm6D_normal.jpg;;;;;"bobscrillen

";;;;;;;;;;;;;;;;;;;502;50;4641;15530;;;;;;19-8-2015 21:24;Open Twitter Page for This Person;https://twitter.com/bobscrillen;No;;;;;
socialconwatch;;;;;http://pbs.twimg.com/profile_images/1375640576184360963/9eZ_PDAi_normal.jpg;;;;;"socialconwatch

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;193;31;1017;1504;;;;;;27-3-2021 02:37;Open Twitter Page for This Person;https://twitter.com/socialconwatch;Yes;;;;;
steffanwatkins;;;;;http://pbs.twimg.com/profile_images/1334194805421858819/75bgMgyd_normal.jpg;;;;;"steffanwatkins

If that seems familiar, it's because
it draws on other conspiracies,
including the classic ""Great Reset""
conspiracy… https://t.co/JualW0DvI7";;;;;;;;;;;;;;;;;;;2051;15357;106580;124234;;Steffan Watkins is a open source research consultant focused on debunking #misinfo|#disinfo about planes, ships, & #OpenSkiesTreaty steffan.watkins@gmail.com;Montréal / Ottawa, Canada 🇨🇦;https://t.co/a9urd3qHIY;;19-7-2008 21:39;Open Twitter Page for This Person;https://twitter.com/steffanwatkins;Yes;;;;;
delicatebliss;;;;;http://pbs.twimg.com/profile_images/1371563077292990465/9awUe4gc_normal.jpg;;;;;"delicatebliss

#qanon only gets upset when it
comes to Democrats apparently.
When it's about Republicans they
simply don't care.… https://t.co/oh6jtXaYgS";;;;;;;;;;;;;;;;;;;683;425;86815;9723;;I'm either crying over a song, book, tv show, a game or all of them at once. So yeah, crying like Niagara Falls over here!;No2FordTrudeauRepublicans;;;30-7-2010 19:42;Open Twitter Page for This Person;https://twitter.com/delicatebliss;Yes;;;;;
jsinvr;;;;;http://pbs.twimg.com/profile_images/1358592990223114241/MV0il5UI_normal.jpg;;;;;"jsinvr

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;4574;3349;348966;323925;;"#cdnpoli #uspoli #ukpoli #Climate #GetVaccinated
#DeleteFB 🇨🇦🇺🇸🇬🇧";;;;1-8-2015 17:38;Open Twitter Page for This Person;https://twitter.com/jsinvr;Yes;;;;;
kanekavi;;;;;http://pbs.twimg.com/profile_images/1388615233401413632/0QDZefDg_normal.jpg;;;;;"kanekavi

RT @mog7546: This is the fringiest
of the fringe #QAnon GOP Cultists
Are Holding UV Lights To AZ Ballots
Looking For Secret Watermarks #M…";;;;;;;;;;;;;;;;;;;7209;7174;44755;102843;;NJ program developer for ballroom dance.✨Member CID. You’re all going to need to dance when this pandemic’s over💃🏻#FBR #Resist🏴‍☠️ #DemVoice1;New Jersey USA;;;23-7-2009 14:24;Open Twitter Page for This Person;https://twitter.com/kanekavi;Yes;;;;;
sboger;;;;;http://pbs.twimg.com/profile_images/1098128488970649602/7OCxlSab_normal.png;;;;;"sboger

#Deltas are Sesame Street number
games for #stupid people, pass
it on. #Qanon https://t.co/EgMnYd1tRr";;;;;;;;;;;;;;;;;;;198;170;9732;9111;;Man-child genius. Nerd. Dog/cat father. 24/7 RV digital nomad w/ fulltime job. #Politics-#Tech-#Linux. #Atheist/#Progressive. Fucking nihilist, man. He/Him. BLM;Seattle-ish;https://t.co/kni1MQtCsB;;26-2-2008 07:31;Open Twitter Page for This Person;https://twitter.com/sboger;Yes;;;;;
ronnilaurie;;;;;http://pbs.twimg.com/profile_images/1125810071710183426/XaCUZAXt_normal.jpg;;;;;"ronnilaurie

RT @StephenGlahn: Consistency has
never been a #MAGA or #QAnon strong
point. As long as it doesn’t slide
down the wall too fast it works
fo…";;;;;;;;;;;;;;;;;;;26202;23819;312447;161042;;"Proud Wife & Mom of 3
Grandma to 6 PERFECT Grandchildren Retired Nurse
Advocate for Women/Vets/Seniors/Ed
#ANTIRACIST
#BlackLivesMatter
#ResistanceGrandmasRock";Iowa, USA;;;5-2-2016 13:28;Open Twitter Page for This Person;https://twitter.com/ronnilaurie;Yes;;;;;
stephenglahn;;;;;http://pbs.twimg.com/profile_images/846011274748051456/feaHlywf_normal.jpg;;;;;"stephenglahn

Consistency has never been a #MAGA
or #QAnon strong point. As long
as it doesn’t slide down the wall
too fast it wo… https://t.co/eBZ8P0O15J";;;;;;;;;;;;;;;;;;;52976;52836;99797;114935;;"Cognizance test ace, Longhorns Ex, Geologist BSer, wildcatter, operator, #FBR, #author, #FaithlessX, snarkalicious, sp?, planter of enduring, resistive seeds ;)";Texas;;;17-6-2014 14:04;Open Twitter Page for This Person;https://twitter.com/stephenglahn;Yes;;;;;
rjmauti;;;;;http://pbs.twimg.com/profile_images/1379502243079188481/7wRvUnNh_normal.jpg;;;;;"rjmauti

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;204;58;2518;3131;;Sole-practising lawyer just north of Toronto, Ontario.;Toronto, ON;https://t.co/4BOYGqlATW;;13-2-2010 19:48;Open Twitter Page for This Person;https://twitter.com/rjmauti;Yes;;;;;
nomorebooks;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"nomorebooks

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;492;354;160216;52574;;;;;;4-5-2012 13:39;Open Twitter Page for This Person;https://twitter.com/nomorebooks;Yes;;;;;
deliamacd1;;;;;http://pbs.twimg.com/profile_images/829584082325512193/p0ACE5Tw_normal.jpg;;;;;"deliamacd1

@AZGOP @kelliwardaz Um, you got
a guy who has NO EXPERIENCE dealing
with elections, a guy who is a
#QANON Quack and… https://t.co/oIyAP4ht5d";;;;;;;;;;;;;;;;;;;7449;6787;241871;229567;;🇺🇸Dad was a Marine, Mom worked for the Navy & I cuss like a Sailor. ⚓️;;;;27-9-2016 00:28;Open Twitter Page for This Person;https://twitter.com/deliamacd1;Yes;;;;;
kelliwardaz;;;;;http://pbs.twimg.com/profile_images/1221960046222831616/itarRYxl_normal.jpg;;;;;"kelliwardaz

";;;;;;;;;;;;;;;;;;;1948;116835;39574;66134;;Chairwoman @AZGOP, mom, military wife, family physician, & former AZ State Senator #FightForTrump #KeepAmericaGreat #ProLife #ProFamily #ProFreedom 🇺🇸;Phoenix, AZ;https://t.co/bucoJeMQwO;;21-8-2011 14:42;Open Twitter Page for This Person;https://twitter.com/kelliwardaz;No;;;;;
azgop;;;;;http://pbs.twimg.com/profile_images/1215061301468135424/24fi8iw3_normal.jpg;;;;;"azgop

";;;;;;;;;;;;;;;;;;;2196;92366;22176;18106;;The official Twitter account of the Republican Party of Arizona. This account is for people who support the GOP platform. Trolls are blocked.;Phoenix, AZ;https://t.co/ADTfG0rXeU;;21-8-2008 21:30;Open Twitter Page for This Person;https://twitter.com/azgop;No;;;;;
lillianbette;;;;;http://pbs.twimg.com/profile_images/1352732055553994752/meht_w2w_normal.jpg;;;;;"lillianbette

@NotLargeMarge1 @mikepompeo #DumbAnon
#Qanon #DipShitAnon #RepublicanHypocrites
#KweefAnon";;;;;;;;;;;;;;;;;;;523;61;7317;4106;;"A wonderful gal from the hood. Very beautiful + very unique.
Ultra sexy, y’know. Sizzling + sultry.";Montgomery;;;22-1-2021 21:35;Open Twitter Page for This Person;https://twitter.com/lillianbette;Yes;;;;;
mikepompeo;;;;;http://pbs.twimg.com/profile_images/1375188969978093568/Ij-oPqrZ_normal.jpg;;;;;"mikepompeo

";;;;;;;;;;;;;;;;;;;265;1045953;635;264;;Former U.S. Secretary of State, Director of the CIA, Congressman. Christian, husband, father, Army veteran, Kansan and proud American 🇺🇸;;https://t.co/DjTh4kKfWN;;21-8-2019 01:53;Open Twitter Page for This Person;https://twitter.com/mikepompeo;No;;;;;
notlargemarge1;;;;;http://pbs.twimg.com/profile_images/1388218848134893570/BV3CVQcC_normal.jpg;;;;;"notlargemarge1

";;;;;;;;;;;;;;;;;;;156;68;821;1299;;"Professional Coincidence Recognizer. Constitutional Conservative Shit Poster.
If I'm here, the real me is on restriction.";;;;24-4-2021 22:09;Open Twitter Page for This Person;https://twitter.com/notlargemarge1;No;;;;;
kak089;;;;;http://pbs.twimg.com/profile_images/1097628125746380807/M7IYnCdA_normal.jpg;;;;;"kak089

RT @StephenGlahn: Consistency has
never been a #MAGA or #QAnon strong
point. As long as it doesn’t slide
down the wall too fast it works
fo…";;;;;;;;;;;;;;;;;;;5000;4532;852378;23211;;"#Biden2020 
******On A Twitter follow limit******";Wisconsin, USA;;;26-7-2010 20:08;Open Twitter Page for This Person;https://twitter.com/kak089;Yes;;;;;
bilasheidi;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"bilasheidi

RT @ruthmkb: Montréal’s Biggest
#COVIDVaccination Site Shut Down
Thanks to Online Fringe Groups,
#QAnon Followers and #MaximeBernier
😠#cdnp…";;;;;;;;;;;;;;;;;;;266;121;13686;11536;;Registered Nurse. Nurse Case Manager, Occupational Health. Views are mine alone and don’t reflect institutions.  ;Toronto ON;;;13-12-2020 22:07;Open Twitter Page for This Person;https://twitter.com/bilasheidi;Yes;;;;;
independent02;;;;;http://pbs.twimg.com/profile_images/897499863809613825/JrnKzt0__normal.jpg;;;;;"independent02

@TMZ whoops did he get it confused
with the #QAnon pledge";;;;;;;;;;;;;;;;;;;893;288;80520;24982;;I am a registered independent born and raised in the US and still a citizen,but live https://t.co/iMA2TR0PE8 Edition is the best group ever;Australia;;;20-6-2009 11:30;Open Twitter Page for This Person;https://twitter.com/independent02;Yes;;;;;
